PART,NB. OF ELEMENTS,Percentage Increased
50000,11281,1.913536498936918
50001,120,0.0
51000,5893,0.154083204930657
51001,90,0.0
51400,2000,0.0140627197300098
51600,316,0.0
52001,8743,0.0
52100,852,0.0
53010,3071,0.0
54000,2844,0.0
55050,2380,0.0133564845732588
56050,1617,0.0
56110,44,0.0
56200,1069,0.0
56350,621,0.0
56450,233,0.0
57000,1559,0.0
57200,1052,0.0
57900,725,0.1044932079414868
58000,1526,0.0498504486540323
60000,13408,0.0660066006600685
60001,172,0.234152868372628
60100,5057,0.0
60150,51,0.0
60160,84,0.0
60200,4680,0.0
60210,1153,0.0
60300,2036,0.0
60400,1698,0.0
60450,517,0.0
60600,2619,0.0230388204123923
60751,2444,0.0
60900,49,0.0
60905,42,0.0
60910,54,0.0
60915,28,0.0
60930,28,0.0
60940,34,0.0
60950,28,0.0
60960,31,0.0
62000,1100,0.0168947457340748
62100,1063,0.0168690958164623
62200,2963,0.0
63000,653,0.0
63100,1194,0.0
63200,2104,0.1275690999291299
64100,1884,0.0143061516452217
64200,865,0.0
66000,795,0.0284414106939672
67000,3758,0.0
67050,1173,0.0
67100,1092,0.0
67200,232,0.0
70000,23390,0.4976580796252899
70100,1501,0.6153846153846086
70300,729,0.0
70400,799,0.0699790062981028
70500,74,0.0
80000,2610,0.0
80100,499,0.0
82000,2694,0.0128567755206979
84000,554,0.0
85100,358,0.0
86000,3017,0.0
86100,752,0.0
86500,2698,0.0
87000,1207,0.0
87010,36,0.0
87020,36,0.0
87200,275,0.0
87300,2935,0.0
88350,1797,0.0
88600,2969,0.0
89000,1066,0.0
150000,10950,1.850533807829183
151000,5788,0.0
151001,90,0.0
151400,1865,0.028453549580307
151600,316,0.0
152001,8743,0.0
152100,852,0.0
153010,3233,0.0
154000,2904,0.0
155050,2455,0.0
156050,1617,0.0
156100,1069,0.0
156210,44,0.0
156350,621,0.0
156450,241,0.0
157000,1577,0.0
157200,1174,0.0
157900,749,0.2612330198537098
158000,1512,0.0
160000,13371,0.0659485601230869
160001,165,0.2601005722212663
160100,5099,0.0
160150,51,0.0
160160,84,0.0
160200,4691,0.0
160210,1153,0.0
160300,2025,0.0
160400,1698,0.0
160450,517,0.0
160600,2619,0.0230388204123923
160751,2444,0.0
160900,49,0.0
160905,42,0.0
160910,54,0.0
160915,28,0.0
160930,28,0.0
160940,34,0.0
160950,28,0.0
160960,31,0.0
162000,1100,0.0
162100,1063,0.0168605631428071
162200,2963,0.0
163000,653,0.0
163100,1194,0.0
163200,2104,0.1275690999291299
164100,1884,0.0143061516452217
164200,865,0.0
166000,795,0.0
167000,3780,0.0
167050,1115,0.0
167100,1092,0.0
170000,16043,0.7572570466975279
170100,1501,0.5714285714285695
180000,2610,0.0
180100,499,0.0
182000,2694,0.0128567755206979
183500,757,0.0
184000,588,0.0
185100,358,0.087642418930765
186000,3017,0.0
186100,752,0.0
186500,2698,0.0
187300,2935,0.0
188350,1797,0.0
188600,2969,0.0
189000,1066,0.0
199999,0,0.0
250000,12444,0.0305250305250407
250001,186,0.3193612774451106
250100,4732,0.0
250200,972,0.0
280120,7,0.0
280130,115,0.0
280502,78495,0.2441008950366244
282000,20261,0.0175254118471686
282001,145,0.0474721101352935
283000,10622,0.0
283010,397,0.0
283020,397,0.0
283030,397,0.0
283040,397,0.0
283100,9483,0.0
283200,3452,0.0
283300,3545,0.0
284000,766,0.0
285000,3394,0.0
287000,3744,0.0
287300,1378,0.0
288000,8562,0.0
310030,64100,0.5951068988318302
310031,208,0.0
340041,5695,1.423529411764706
342100,611,0.0
342200,2686,0.0
343000,4590,0.3960396039603964
350000,6975,0.2225519287833747
350100,5417,0.0
350300,4097,0.0934482400581468
350400,4040,1.2280989028983054
350600,170,0.0
350701,4126,1.846685266374374
350900,6124,0.0
360000,5013,0.5208333333333338
360001,31,5.429767142397266
360300,0,0.0
360350,166,0.0
370000,8131,0.7807417046193891
370005,198,0.0
370010,2720,0.3258845437616416
370020,7936,0.0556173526140094
370040,3312,0.1243609230344081
370090,5550,0.0
370100,3079,0.6355547485019174
370120,417,0.0
370130,5518,0.3273322422258595
370135,2845,0.0
370150,2061,0.3100088573959283
370160,3207,0.0
370220,3172,0.0
370240,983,0.0
370250,790,1.963350785340316
370260,1034,0.8719916288803635
370261,48,0.0
370262,4,0.0
370270,220,0.0
370300,825,1.899592944369068
370800,746,0.0
371030,40662,1.616628175519628
371100,1772,2.5365103766333568
371200,5579,2.030708271421492
372000,1149,3.785672684915554
372100,1139,5.959397511460378
372200,325,0.200774415603042
372300,1174,0.0
376000,2313,0.0106871860639081
376010,5954,0.340136054421769
377000,526,0.0288059916462512
378000,1338,0.0
391000,998,0.0
410030,65043,0.5633192503520702
410031,208,0.0
440041,5695,1.423529411764706
442100,611,0.0
442200,2686,0.0
443000,4590,0.3960396039603964
450000,6975,0.2225519287833747
450100,5417,0.0
450300,4097,0.0934482400581468
450400,4040,1.211724250859663
450600,170,0.0
450701,4126,1.846685266374374
460000,5013,0.5208333333333338
460001,31,5.075651893980054
460300,372,0.0
470000,8131,0.7807417046193891
470005,198,0.0
470010,1859,0.0
470020,4281,0.0423235636440541
470040,3312,0.1243609230344081
470090,5550,0.0
470100,3079,0.6537134556019698
470120,417,0.0
470130,5584,0.3252032520325206
470135,2845,0.0
470150,3614,0.0
470160,5563,0.0
470220,2061,0.3321523472099206
470240,1042,0.0
470250,933,1.7113519680547489
470260,1034,0.837111963725153
470261,48,0.0
470262,4,0.0
470300,825,1.899592944369068
470800,746,0.0
471020,40795,1.5422885572139298
471100,1750,1.379310344827583
471200,5907,1.8975332068311213
472000,1149,3.960396039603961
472100,1139,5.893909626719062
472200,325,0.200774415603042
472300,1272,0.0
476000,2363,0.0106837606837595
476010,5888,0.3448275862068969
477000,526,0.0144383482529542
477400,624,0.0
491000,998,0.0
510000,78360,0.9552371431745008
510200,2891,0.0
543000,10847,1.0779436152570585
571000,10578,0.9697661152310398
571210,4524,2.9516994633273628
580000,5960,0.0
600700,11155,0.0
600701,11155,0.0
8000998,0,0.0
8000999,0,0.0
8001997,0,0.0
8009908,1520,0.0
8009993,40484,793.3371461252502
8009994,592,0.0
8097631,914,0.0
8500001,196,0.0
8500003,196,0.0
8912098,104,0.0
8912099,0,0.0
89150620,12,0.0
89150640,8,0.0
89150660,2,0.0
89150680,2,0.0
89150700,2,0.0
89150720,3,0.0
89150840,12,0.0
89150860,8,0.0
89150880,2,0.0
89150900,2,0.0
89150920,2,0.0
89150940,5,0.0
89150960,3,0.0
89151120,6,0.0
89151140,6,0.0
89151160,2,0.0
89151420,5,0.0
89151440,12,0.0
89151460,5,0.0
89151480,2,0.0
89151500,3,0.0
89151520,8,0.0
89151540,1,0.0
89151560,2,0.0
89151800,5,0.0
89151820,12,0.0
89151840,5,0.0
89151860,2,0.0
89151880,3,0.0
89151900,8,0.0
89151920,1,0.0
89151960,1,0.0
89151980,2,0.0
89152000,14,0.0
89152181,1743,0.0
89152201,1743,0.0
89152232,9,0.0
89152252,10,0.0
89152272,40,0.0
89152292,15,0.0
89152312,18,0.0
89152412,10,0.0
89152432,10,0.0
89152452,10,0.0
89152472,5,0.0
89152492,18,0.0
89152512,3,0.0
89152712,10,0.0
89152732,12,0.0
89152752,10,0.0
89152772,3,0.0
89152972,10,0.0
89152992,12,0.0
89153012,10,0.0
89153032,8,0.0
89153395,1,0.0
89153405,1,0.0
89153425,4,0.0
89153435,4,0.0
89153455,14,0.0
89153465,14,0.0
89153485,6,0.0
89153495,6,0.0
89153515,1,0.0
89153525,1,0.0
89153545,1,0.0
89153555,1,0.0
89153575,1,0.0
89153585,1,0.0
89153605,2,0.0
89153615,2,0.0
89153635,1,0.0
89153645,1,0.0
89153935,1,0.0
89153945,1,0.0
89153965,4,0.0
89153975,4,0.0
89153995,14,0.0
89154005,14,0.0
89154025,6,0.0
89154035,6,0.0
89154055,1,0.0
89154065,1,0.0
89154085,1,0.0
89154095,1,0.0
89154115,1,0.0
89154125,1,0.0
89154145,2,0.0
89154155,2,0.0
89154175,1,0.0
89154185,1,0.0
89154265,1,0.0
89154275,1,0.0
89154295,1,0.0
89154305,1,0.0
89154325,1,0.0
89154335,1,0.0
89154355,1,0.0
89154365,1,0.0
89154595,2,0.0
89154605,2,0.0
89154625,1,0.0
89154635,1,0.0
89154655,3,0.0
89154665,3,0.0
89154685,2,0.0
89154695,2,0.0
89154715,1,0.0
89154725,1,0.0
89154745,4,0.0
89154755,4,0.0
89154775,1,0.0
89154785,1,0.0
89154985,2,0.0
89154995,2,0.0
89155015,1,0.0
89155025,1,0.0
89155045,3,0.0
89155055,3,0.0
89155075,2,0.0
89155085,2,0.0
89155105,1,0.0
89155115,1,0.0
89155135,4,0.0
89155145,4,0.0
89155165,1,0.0
89155175,1,0.0
89155195,2,0.0
89155205,2,0.0
89155225,2,0.0
89155235,2,0.0
89155500,2,0.0
89155520,14,0.0
89155800,2,0.0
89155820,14,0.0
89156192,3,0.0
89156212,12,0.0
89156232,5,0.0
89156252,10,0.0
89156272,5,0.0
89156312,12,0.0
89156372,2,0.0
89156392,12,0.0
89156412,5,0.0
89156432,11,0.0
89156452,12,0.0
89156855,4,0.0
89156865,4,0.0
89156885,3,0.0
89156895,3,0.0
89157245,4,0.0
89157255,4,0.0
89157275,3,0.0
89157285,3,0.0
89157770,12,0.0
89157790,2,0.0
89157810,13,0.0
89157830,7,0.0
89157850,12,0.0
89157870,1,0.0
89158010,12,0.0
89158030,2,0.0
89158050,13,0.0
89158070,6,0.0
89158090,12,0.0
89158110,1,0.0
89158190,2,0.0
89158210,5,0.0
89158625,5,0.0
89158635,5,0.0
89158655,1,0.0
89158665,1,0.0
89158685,1,0.0
89158695,1,0.0
89158745,3,0.0
89158755,3,0.0
89158835,1,0.0
89158845,1,0.0
89158865,4,0.0
89158875,4,0.0
89158895,2,0.0
89158905,2,0.0
89159285,6,0.0
89159295,6,0.0
89159315,1,0.0
89159325,1,0.0
89159345,1,0.0
89159355,1,0.0
89159405,3,0.0
89159415,3,0.0
89159495,1,0.0
89159505,1,0.0
89159525,4,0.0
89159535,4,0.0
89159555,2,0.0
89159565,2,0.0
89159645,3,0.0
89159655,3,0.0
89159675,3,0.0
89159685,3,0.0
89159705,4,0.0
89159715,4,0.0
89159800,7,0.0
89159830,7,0.0
89159900,26,0.0
89159990,26,0.0
89160050,6,0.0
89160180,3,0.0
89160210,3,0.0
89161720,1,0.0
89161740,1,0.0
89161772,12,0.0
89161792,12,0.0
89161940,2,0.0
89161960,3,0.0
89161995,3,0.0
89162005,3,0.0
89162030,2,0.0
89162050,3,0.0
89162085,3,0.0
89162095,3,0.0
89162120,8,0.0
89162140,8,0.0
89162170,4,0.0
89162190,4,0.0
89162210,4,0.0
89162230,4,0.0
89162260,2,0.0
89162292,11,0.0
89162320,11,0.0
89162370,11,0.0
89162570,10,0.0
89162590,4,0.0
89162640,10,0.0
89162680,4,0.0
89162770,4,0.0
89162790,2,0.0
89162810,1,0.0
89162830,5,0.0
89162850,5,0.0
89162870,2,0.0
89162890,2,0.0
89162910,6,0.0
89162930,7,0.0
89162950,4,0.0
89162970,4,0.0
89162990,4,0.0
89163010,2,0.0
89163030,5,0.0
89163050,5,0.0
89163070,2,0.0
89163090,2,0.0
89163110,6,0.0
89163130,7,0.0
89163150,4,0.0
89163170,4,0.0
89163190,15,0.0
89163225,1,0.0
89163235,1,0.0
89163255,1,0.0
89163265,1,0.0
89163285,1,0.0
89163295,1,0.0
89163315,1,0.0
89163325,1,0.0
89163390,19,0.0
89164300,8,0.0
89164320,6,0.0
89164340,2,0.0
89164380,4,0.0
89164400,7,0.0
89164440,3,0.0
89164460,1,0.0
89164520,2,0.0
89164540,3,0.0
89164580,2,0.0
89164600,1,0.0
89164620,8,0.0
89164640,6,0.0
89164660,2,0.0
89164680,4,0.0
89164720,7,0.0
89164760,3,0.0
89164780,1,0.0
89164840,2,0.0
89164860,3,0.0
89164900,2,0.0
89164920,1,0.0
89164955,1,0.0
89164965,1,0.0
89164985,9,0.0
89164995,9,0.0
89165045,1,0.0
89165055,1,0.0
89165075,2,0.0
89165085,2,0.0
89165105,2,0.0
89165115,2,0.0
89165135,3,0.0
89165145,3,0.0
89165165,1,0.0
89165175,1,0.0
89165195,1,0.0
89165205,1,0.0
89165255,1,0.0
89165265,1,0.0
89165285,1,0.0
89165295,1,0.0
89165315,2,0.0
89165325,2,0.0
89165375,1,0.0
89165385,1,0.0
89165405,3,0.0
89165415,3,0.0
89165435,1,0.0
89165445,1,0.0
89165465,9,0.0
89165475,9,0.0
89165495,1,0.0
89165505,1,0.0
89165555,2,0.0
89165565,2,0.0
89165585,2,0.0
89165595,2,0.0
89165615,3,0.0
89165625,3,0.0
89165645,1,0.0
89165655,1,0.0
89165675,1,0.0
89165685,1,0.0
89165735,1,0.0
89165745,1,0.0
89165765,1,0.0
89165775,1,0.0
89165795,2,0.0
89165805,2,0.0
89165855,1,0.0
89165865,1,0.0
89165885,3,0.0
89165895,3,0.0
89166040,11,0.0
89166120,12,0.0
89166160,9,0.0
89166440,10,0.0
89166470,10,0.0
89166500,4,0.0
89166530,4,0.0
89166560,3,0.0
89166590,3,0.0
89166620,7,0.0
89166640,6,0.0
89166660,1,0.0
89166680,3,0.0
89166700,2,0.0
89166720,9,0.0
89166740,2,0.0
89166760,2,0.0
89166780,14,0.0
89166800,2,0.0
89166820,16,0.0
89166840,4,0.0
89166860,4,0.0
89166880,3,0.0
89166900,3,0.0
89166920,11,0.0
89166940,2,0.0
89166960,4,0.0
89166980,6,0.0
89167000,1,0.0
89167020,4,0.0
89167040,2,0.0
89167060,5,0.0
89167080,6,0.0
89167100,2,0.0
89167120,3,0.0
89167140,2,0.0
89167160,2,0.0
89167180,1,0.0
89167200,1,0.0
89167220,1,0.0
89167240,6,0.0
89167272,1,0.0
89167292,1,0.0
89167312,1,0.0
89167332,2,0.0
89167365,1,0.0
89167375,1,0.0
89167395,2,0.0
89167405,2,0.0
89167425,4,0.0
89167435,4,0.0
89167455,3,0.0
89167465,3,0.0
89167485,1,0.0
89167495,1,0.0
89167515,4,0.0
89167525,4,0.0
89167545,1,0.0
89167555,1,0.0
89167575,1,0.0
89167585,1,0.0
89167605,1,0.0
89167615,1,0.0
89167635,2,0.0
89167645,2,0.0
89167665,7,0.0
89167675,7,0.0
89167695,3,0.0
89167705,3,0.0
89167725,3,0.0
89167735,3,0.0
89167755,3,0.0
89167765,3,0.0
89167785,2,0.0
89167795,2,0.0
89167815,1,0.0
89167825,1,0.0
89167845,1,0.0
89167855,1,0.0
89167880,7,0.0
89167900,6,0.0
89167920,1,0.0
89167940,3,0.0
89167960,2,0.0
89167980,9,0.0
89168000,2,0.0
89168020,2,0.0
89168040,14,0.0
89168060,2,0.0
89168080,16,0.0
89168100,4,0.0
89168120,4,0.0
89168140,3,0.0
89168160,3,0.0
89168180,11,0.0
89168200,2,0.0
89168220,4,0.0
89168240,6,0.0
89168260,1,0.0
89168280,5,0.0
89168300,6,0.0
89168320,2,0.0
89168340,3,0.0
89168360,2,0.0
89168380,2,0.0
89168400,1,0.0
89168420,1,0.0
89168440,1,0.0
89168472,1,0.0
89168492,1,0.0
89168512,1,0.0
89168532,2,0.0
89168565,1,0.0
89168575,1,0.0
89168595,2,0.0
89168605,2,0.0
89168625,4,0.0
89168635,4,0.0
89168655,3,0.0
89168665,3,0.0
89168685,1,0.0
89168695,1,0.0
89168715,4,0.0
89168725,4,0.0
89168745,1,0.0
89168755,1,0.0
89168775,1,0.0
89168785,1,0.0
89168805,1,0.0
89168815,1,0.0
89168835,2,0.0
89168845,2,0.0
89168865,7,0.0
89168875,7,0.0
89168895,3,0.0
89168905,3,0.0
89168925,3,0.0
89168935,3,0.0
89168955,2,0.0
89168965,2,0.0
89168985,1,0.0
89168995,1,0.0
89169015,1,0.0
89169025,1,0.0
89169050,4,0.0
89169070,2,0.0
89169100,4,0.0
89169120,2,0.0
89169150,10,0.0
89169170,19,0.0
89169190,20,0.0
89169280,5,0.0
89169300,2,0.0
89169320,1,0.0
89169340,9,0.0
89169360,4,0.0
89169380,5,0.0
89169400,9,0.0
89169435,1,0.0
89169445,1,0.0
89169465,1,0.0
89169475,1,0.0
89169500,2,0.0
89169520,1,0.0
89169540,4,0.0
89169575,1,0.0
89169585,1,0.0
89169605,1,0.0
89169615,1,0.0
89170350,4,0.0
89170370,4,0.0
89170400,3,0.0
89170420,8,0.0
89170440,2,0.0
89170460,3,0.0
89170480,1,0.0
89170500,1,0.0
89170520,1,0.0
89170540,11,0.0
89170560,2,0.0
89170580,4,0.0
89170600,3,0.0
89170620,1,0.0
89170640,2,0.0
89170660,3,0.0
89170680,1,0.0
89170700,1,0.0
89170720,6,0.0
89170740,2,0.0
89170760,16,0.0
89170780,1,0.0
89170815,1,0.0
89170825,1,0.0
89170845,1,0.0
89170855,1,0.0
89170875,1,0.0
89170885,1,0.0
89170905,1,0.0
89170915,1,0.0
89170935,1,0.0
89170945,1,0.0
89170965,1,0.0
89170975,1,0.0
89170995,1,0.0
89171005,1,0.0
89171070,17,0.0
89171110,25,0.0
89171130,2,0.0
89171190,1,0.0
89171210,2,0.0
89171230,1,0.0
89171250,2,0.0
89171270,3,0.0
89171290,6,0.0
89171350,17,0.0
89171390,25,0.0
89171410,2,0.0
89171470,1,0.0
89171490,2,0.0
89171510,1,0.0
89171530,3,0.0
89171550,3,0.0
89171570,6,0.0
89171785,7,0.0
89171795,7,0.0
89171815,7,0.0
89171825,7,0.0
89171845,1,0.0
89171855,1,0.0
89171875,1,0.0
89171885,1,0.0
89171905,2,0.0
89171915,2,0.0
89171965,12,0.0
89171975,12,0.0
89171995,1,0.0
89172005,1,0.0
89172025,2,0.0
89172035,2,0.0
89172055,4,0.0
89172065,4,0.0
89172085,1,0.0
89172095,1,0.0
89172115,7,0.0
89172125,7,0.0
89172145,3,0.0
89172155,3,0.0
89172175,3,0.0
89172185,3,0.0
89172205,2,0.0
89172215,2,0.0
89172235,1,0.0
89172245,1,0.0
89172265,4,0.0
89172275,4,0.0
89172475,7,0.0
89172485,7,0.0
89172505,7,0.0
89172515,7,0.0
89172535,1,0.0
89172545,1,0.0
89172565,1,0.0
89172575,1,0.0
89172595,2,0.0
89172605,2,0.0
89172655,12,0.0
89172665,12,0.0
89172685,1,0.0
89172695,1,0.0
89172715,2,0.0
89172725,2,0.0
89172745,3,0.0
89172755,3,0.0
89172775,1,0.0
89172785,1,0.0
89172805,7,0.0
89172815,7,0.0
89172835,3,0.0
89172845,3,0.0
89172865,3,0.0
89172875,3,0.0
89172895,2,0.0
89172905,2,0.0
89172925,1,0.0
89172935,1,0.0
89172955,4,0.0
89172965,4,0.0
89173030,3,0.0
89173050,2,0.0
89173070,10,0.0
89173090,10,0.0
89173110,2,0.0
89173130,1,0.0
89173150,2,0.0
89173170,16,0.0
89173190,2,0.0
89173250,3,0.0
89173270,1,0.0
89173290,10,0.0
89173310,10,0.0
89173330,2,0.0
89173350,1,0.0
89173370,2,0.0
89173390,18,0.0
89173410,2,0.0
89173595,1,0.0
89173605,1,0.0
89173625,2,0.0
89173635,2,0.0
89173655,2,0.0
89173665,2,0.0
89173685,1,0.0
89173695,1,0.0
89173835,1,0.0
89173845,1,0.0
89173895,1,0.0
89173905,1,0.0
89173925,2,0.0
89173935,2,0.0
89173955,2,0.0
89173965,2,0.0
89173985,1,0.0
89173995,1,0.0
89174140,2,0.0
89174160,3,0.0
89174300,2,0.0
89174320,3,0.0
89174385,3,0.0
89174395,3,0.0
89174415,2,0.0
89174425,2,0.0
89174445,2,0.0
89174455,2,0.0
89174505,3,0.0
89174515,3,0.0
89174535,2,0.0
89174545,2,0.0
89174565,2,0.0
89174575,2,0.0
89174960,0,0.0
89175000,9,0.0
89175020,4,0.0
89175040,3,0.0
89175060,10,0.0
89175080,5,0.0
89175100,6,0.0
89175180,4,0.0
89175220,3,0.0
89175240,4,0.0
89175260,10,0.0
89175280,10,0.0
89175300,5,0.0
89175320,8,0.0
89175355,1,0.0
89175365,1,0.0
89175385,4,0.0
89175395,4,0.0
89175415,1,0.0
89175425,1,0.0
